	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-ConsensusClassification	9-Clustering_100	10-TaxaFilter_100	11-MultipletonsFilter_100	12-Subsampling_100	13-Lulu_100	14-RareSeqsFilter_100
AL_2_T1	25531	18461	18461	18461 (5329 uniques)	18098 (142 uniques)	17330 (157 uniques)	17293 (140 uniques)	17154 (132 uniques)	17154 (132 uniques)	17154 (132 uniques)	17154 (132 uniques)	17154 (132 uniques)	17154 (132 uniques)	8000 (127 uniques)	8000 (87 uniques)	7990 (81 uniques)
AL_2_T2	588	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
AL_2_T3	57767	43907	43907	43907 (9894 uniques)	42974 (226 uniques)	41938 (257 uniques)	41850 (242 uniques)	41574 (211 uniques)	41574 (211 uniques)	41574 (211 uniques)	41574 (211 uniques)	41571 (210 uniques)	41566 (205 uniques)	8000 (168 uniques)	8000 (130 uniques)	7991 (122 uniques)
AL_2_T4	242	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
AR_2_T1	245	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
AR_2_T2	30790	23467	23467	23467 (8845 uniques)	22265 (262 uniques)	20993 (290 uniques)	20867 (277 uniques)	20392 (232 uniques)	20392 (232 uniques)	20392 (232 uniques)	20392 (232 uniques)	20392 (232 uniques)	20390 (230 uniques)	8000 (219 uniques)	8000 (184 uniques)	7992 (178 uniques)
AR_2_T3	1385	76	76	76 (68 uniques)	37 (5 uniques)	15 (3 uniques)	15 (3 uniques)	15 (3 uniques)	15 (3 uniques)	15 (3 uniques)	15 (3 uniques)	15 (3 uniques)	15 (3 uniques)	/	/	/
AR_2_T4	506	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
AW_2_T1	17424	9114	9114	9114 (4402 uniques)	9018 (97 uniques)	8785 (96 uniques)	8665 (91 uniques)	8665 (91 uniques)	8665 (91 uniques)	8665 (91 uniques)	8665 (91 uniques)	8605 (88 uniques)	8605 (88 uniques)	8000 (88 uniques)	8000 (83 uniques)	7998 (82 uniques)
AW_2_T2	33773	24862	24862	24862 (9741 uniques)	23491 (236 uniques)	22296 (208 uniques)	22009 (200 uniques)	21753 (175 uniques)	21753 (175 uniques)	21753 (175 uniques)	21753 (175 uniques)	21748 (173 uniques)	21746 (171 uniques)	8000 (159 uniques)	8000 (141 uniques)	7978 (126 uniques)
AW_2_T3	52951	19286	19286	19286 (8114 uniques)	18240 (299 uniques)	17102 (213 uniques)	16792 (203 uniques)	16792 (203 uniques)	16792 (203 uniques)	16792 (203 uniques)	16792 (203 uniques)	16750 (198 uniques)	16750 (198 uniques)	8000 (184 uniques)	8000 (173 uniques)	7954 (142 uniques)
AW_2_T4	253	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
CL_2_T1	22150	14105	14105	14105 (6302 uniques)	13902 (120 uniques)	13463 (122 uniques)	8374 (108 uniques)	8374 (108 uniques)	8374 (108 uniques)	8374 (108 uniques)	8374 (108 uniques)	8374 (108 uniques)	8373 (107 uniques)	8000 (107 uniques)	8000 (102 uniques)	8000 (102 uniques)
CL_2_T2	39023	27678	27678	27678 (11000 uniques)	26345 (352 uniques)	24749 (315 uniques)	24408 (302 uniques)	24281 (274 uniques)	24281 (274 uniques)	24281 (274 uniques)	24281 (274 uniques)	24281 (274 uniques)	24276 (269 uniques)	8000 (246 uniques)	8000 (218 uniques)	7977 (202 uniques)
CL_2_T3	993	80	80	80 (74 uniques)	13 (5 uniques)	2 (1 uniques)	2 (1 uniques)	2 (1 uniques)	2 (1 uniques)	2 (1 uniques)	2 (1 uniques)	2 (1 uniques)	2 (1 uniques)	/	/	/
CL_2_T4	603	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
CR_2_T1	212	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
CR_2_T2	200	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
CR_2_T3	59242	41522	41522	41522 (11414 uniques)	40515 (422 uniques)	39366 (358 uniques)	39284 (343 uniques)	39129 (319 uniques)	39129 (319 uniques)	39129 (319 uniques)	39129 (319 uniques)	39081 (314 uniques)	39078 (311 uniques)	8000 (249 uniques)	8000 (226 uniques)	7932 (175 uniques)
CR_2_T4	277	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
CW_2_T2	299	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
CW_2_T4	3868	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
DORCIERR_D_WA_2_TFN	20149	13841	13841	13841 (4756 uniques)	13484 (104 uniques)	13045 (85 uniques)	13020 (83 uniques)	12885 (77 uniques)	12885 (77 uniques)	12885 (77 uniques)	12885 (77 uniques)	12885 (77 uniques)	12885 (77 uniques)	8000 (76 uniques)	8000 (69 uniques)	7995 (66 uniques)
D_CC_1_T0D	32709	23662	23662	23662 (10559 uniques)	22478 (227 uniques)	21384 (196 uniques)	21346 (186 uniques)	21276 (176 uniques)	21276 (176 uniques)	21276 (176 uniques)	21276 (176 uniques)	20926 (167 uniques)	20926 (167 uniques)	8000 (158 uniques)	8000 (144 uniques)	7991 (137 uniques)
D_CC_1_T0N	55993	36967	36967	36967 (15014 uniques)	35267 (381 uniques)	33568 (326 uniques)	33568 (319 uniques)	33419 (295 uniques)	33419 (295 uniques)	33419 (295 uniques)	33419 (295 uniques)	33198 (285 uniques)	33196 (283 uniques)	8000 (247 uniques)	8000 (224 uniques)	7967 (200 uniques)
D_CC_1_TFD	32964	23070	23070	23070 (8784 uniques)	22499 (175 uniques)	21783 (169 uniques)	21783 (166 uniques)	21649 (152 uniques)	21649 (152 uniques)	21649 (152 uniques)	21649 (152 uniques)	21613 (149 uniques)	21613 (149 uniques)	8000 (136 uniques)	8000 (120 uniques)	7993 (115 uniques)
D_CC_1_TFN	35597	24214	24214	24214 (8427 uniques)	23561 (185 uniques)	22840 (162 uniques)	22778 (158 uniques)	22610 (149 uniques)	22610 (149 uniques)	22610 (149 uniques)	22610 (149 uniques)	22560 (146 uniques)	22558 (144 uniques)	8000 (137 uniques)	8000 (127 uniques)	7998 (125 uniques)
D_CC_2_T0D	31322	22380	22380	22380 (10546 uniques)	21188 (247 uniques)	20108 (212 uniques)	20090 (203 uniques)	20017 (192 uniques)	20017 (192 uniques)	20017 (192 uniques)	20017 (192 uniques)	19557 (174 uniques)	19557 (174 uniques)	8000 (167 uniques)	8000 (153 uniques)	7989 (146 uniques)
D_CC_2_T0N	39440	25958	25958	25958 (11021 uniques)	24565 (293 uniques)	23305 (247 uniques)	23305 (242 uniques)	23219 (225 uniques)	23219 (225 uniques)	23219 (225 uniques)	23219 (225 uniques)	23041 (216 uniques)	23040 (215 uniques)	8000 (194 uniques)	8000 (184 uniques)	7977 (166 uniques)
D_CC_2_TFD	37594	26997	26997	26997 (9488 uniques)	26383 (164 uniques)	25647 (169 uniques)	25647 (166 uniques)	25445 (143 uniques)	25445 (143 uniques)	25445 (143 uniques)	25445 (143 uniques)	25431 (141 uniques)	25431 (141 uniques)	8000 (129 uniques)	8000 (109 uniques)	7992 (103 uniques)
D_CC_2_TFN	32263	21726	21726	21726 (8754 uniques)	20988 (188 uniques)	20226 (167 uniques)	20147 (164 uniques)	20007 (152 uniques)	20007 (152 uniques)	20007 (152 uniques)	20007 (152 uniques)	19937 (147 uniques)	19937 (147 uniques)	8000 (143 uniques)	8000 (133 uniques)	7994 (129 uniques)
D_CC_3_TFD	44727	31357	31357	31357 (11093 uniques)	30640 (199 uniques)	29720 (204 uniques)	29720 (199 uniques)	29512 (176 uniques)	29512 (176 uniques)	29512 (176 uniques)	29512 (176 uniques)	29502 (174 uniques)	29501 (173 uniques)	8000 (151 uniques)	8000 (128 uniques)	7995 (125 uniques)
D_CC_3_TFN	40075	25784	25784	25784 (10000 uniques)	24956 (214 uniques)	23913 (183 uniques)	23863 (176 uniques)	23716 (169 uniques)	23716 (169 uniques)	23716 (169 uniques)	23716 (169 uniques)	23652 (165 uniques)	23650 (163 uniques)	8000 (154 uniques)	8000 (146 uniques)	7993 (142 uniques)
D_CC_4_TFD	28569	20929	20929	20929 (7884 uniques)	20360 (156 uniques)	19768 (150 uniques)	19768 (145 uniques)	19690 (133 uniques)	19690 (133 uniques)	19690 (133 uniques)	19690 (133 uniques)	19652 (129 uniques)	19652 (129 uniques)	8000 (124 uniques)	8000 (109 uniques)	7999 (108 uniques)
D_CC_4_TFN	45066	32388	32388	32388 (9868 uniques)	31689 (184 uniques)	31011 (172 uniques)	30958 (169 uniques)	30658 (152 uniques)	30658 (152 uniques)	30658 (152 uniques)	30658 (152 uniques)	30627 (149 uniques)	30627 (149 uniques)	8000 (132 uniques)	8000 (116 uniques)	7995 (112 uniques)
D_DT_1_T0D	30951	21235	21235	21235 (9625 uniques)	19919 (227 uniques)	18507 (182 uniques)	18507 (178 uniques)	18403 (161 uniques)	18403 (161 uniques)	18403 (161 uniques)	18403 (161 uniques)	18202 (154 uniques)	18202 (154 uniques)	8000 (148 uniques)	8000 (138 uniques)	7980 (126 uniques)
D_DT_1_T0N	43908	30437	30437	30437 (13172 uniques)	28879 (327 uniques)	27364 (275 uniques)	27336 (266 uniques)	27230 (250 uniques)	27230 (250 uniques)	27230 (250 uniques)	27230 (250 uniques)	27154 (246 uniques)	27154 (246 uniques)	8000 (222 uniques)	8000 (203 uniques)	7973 (182 uniques)
D_DT_1_TFN	49704	34643	34643	34643 (12597 uniques)	33810 (253 uniques)	32566 (232 uniques)	32522 (222 uniques)	32412 (208 uniques)	32412 (208 uniques)	32412 (208 uniques)	32412 (208 uniques)	32342 (202 uniques)	32340 (200 uniques)	8000 (177 uniques)	8000 (152 uniques)	7986 (141 uniques)
D_DT_2_T0D	41513	29116	29116	29116 (12666 uniques)	27434 (303 uniques)	25528 (228 uniques)	25491 (222 uniques)	25384 (204 uniques)	25384 (204 uniques)	25384 (204 uniques)	25384 (204 uniques)	25225 (195 uniques)	25225 (195 uniques)	8000 (176 uniques)	8000 (161 uniques)	7979 (146 uniques)
D_DT_2_T0N	31139	20713	20713	20713 (9451 uniques)	19402 (286 uniques)	18177 (234 uniques)	18177 (227 uniques)	18139 (213 uniques)	18139 (213 uniques)	18139 (213 uniques)	18139 (213 uniques)	18046 (207 uniques)	18046 (207 uniques)	8000 (195 uniques)	8000 (185 uniques)	7976 (167 uniques)
D_DT_2_TFD	25173	17789	17789	17789 (6796 uniques)	17272 (138 uniques)	16699 (117 uniques)	16699 (114 uniques)	16667 (107 uniques)	16667 (107 uniques)	16667 (107 uniques)	16667 (107 uniques)	16622 (103 uniques)	16622 (103 uniques)	8000 (101 uniques)	8000 (94 uniques)	7991 (88 uniques)
D_DT_2_TFN	26814	19668	19668	19668 (7886 uniques)	19113 (171 uniques)	18457 (168 uniques)	18457 (163 uniques)	18391 (154 uniques)	18391 (154 uniques)	18391 (154 uniques)	18391 (154 uniques)	18357 (151 uniques)	18357 (151 uniques)	8000 (145 uniques)	8000 (134 uniques)	7982 (121 uniques)
D_DT_3_TFD	37037	26068	26068	26068 (9544 uniques)	25451 (176 uniques)	24662 (170 uniques)	24655 (165 uniques)	24525 (152 uniques)	24525 (152 uniques)	24525 (152 uniques)	24525 (152 uniques)	24461 (145 uniques)	24461 (145 uniques)	8000 (134 uniques)	8000 (118 uniques)	7995 (114 uniques)
D_DT_3_TFN	37578	28071	28071	28071 (10684 uniques)	27323 (225 uniques)	26380 (211 uniques)	26346 (200 uniques)	26237 (186 uniques)	26237 (186 uniques)	26237 (186 uniques)	26237 (186 uniques)	26188 (182 uniques)	26187 (181 uniques)	8000 (165 uniques)	8000 (149 uniques)	7993 (144 uniques)
D_DT_4_TFD	23732	16941	16941	16941 (6223 uniques)	16554 (148 uniques)	15885 (134 uniques)	15885 (131 uniques)	15821 (121 uniques)	15821 (121 uniques)	15821 (121 uniques)	15821 (121 uniques)	15806 (118 uniques)	15806 (118 uniques)	8000 (117 uniques)	8000 (107 uniques)	7996 (104 uniques)
D_DT_4_TFN	37190	26994	26994	26994 (10463 uniques)	26184 (217 uniques)	25230 (206 uniques)	25230 (198 uniques)	25117 (186 uniques)	25117 (186 uniques)	25117 (186 uniques)	25117 (186 uniques)	25087 (183 uniques)	25087 (183 uniques)	8000 (170 uniques)	8000 (147 uniques)	7983 (135 uniques)
D_IN_1_T0D	38653	26950	26950	26950 (13401 uniques)	24979 (307 uniques)	23320 (256 uniques)	23320 (244 uniques)	23229 (222 uniques)	23229 (222 uniques)	23229 (222 uniques)	23229 (222 uniques)	21929 (202 uniques)	21929 (202 uniques)	8000 (183 uniques)	8000 (170 uniques)	7974 (151 uniques)
D_IN_1_T0N	36264	25993	25993	25993 (11109 uniques)	24027 (424 uniques)	22275 (327 uniques)	22273 (319 uniques)	22214 (305 uniques)	22214 (305 uniques)	22214 (305 uniques)	22214 (305 uniques)	21845 (285 uniques)	21844 (284 uniques)	8000 (271 uniques)	8000 (251 uniques)	7958 (217 uniques)
D_IN_2_T0D	36639	25888	25888	25888 (12297 uniques)	24121 (302 uniques)	22691 (247 uniques)	22689 (234 uniques)	22662 (223 uniques)	22662 (223 uniques)	22662 (223 uniques)	22662 (223 uniques)	21536 (203 uniques)	21536 (203 uniques)	8000 (185 uniques)	8000 (174 uniques)	7972 (155 uniques)
D_IN_2_T0N	26336	17922	17922	17922 (8353 uniques)	16388 (274 uniques)	15159 (220 uniques)	15157 (210 uniques)	15122 (201 uniques)	15122 (201 uniques)	15122 (201 uniques)	15122 (201 uniques)	14855 (192 uniques)	14855 (192 uniques)	8000 (187 uniques)	8000 (171 uniques)	7979 (158 uniques)
D_OF_1_T0D	33990	23386	23386	23386 (10142 uniques)	22361 (310 uniques)	21000 (266 uniques)	21000 (259 uniques)	20867 (235 uniques)	20867 (235 uniques)	20867 (235 uniques)	20867 (235 uniques)	20347 (216 uniques)	20347 (216 uniques)	8000 (203 uniques)	8000 (185 uniques)	7976 (168 uniques)
D_OF_1_T0N	34325	24858	24858	24858 (10949 uniques)	24046 (283 uniques)	22819 (260 uniques)	22819 (247 uniques)	22689 (236 uniques)	22689 (236 uniques)	22689 (236 uniques)	22689 (236 uniques)	22472 (223 uniques)	22472 (223 uniques)	8000 (211 uniques)	8000 (195 uniques)	7977 (179 uniques)
D_OF_2_T0D	39264	25034	25034	25034 (10772 uniques)	23967 (270 uniques)	22769 (244 uniques)	22769 (235 uniques)	22656 (215 uniques)	22656 (215 uniques)	22656 (215 uniques)	22656 (215 uniques)	21943 (190 uniques)	21943 (190 uniques)	8000 (183 uniques)	8000 (172 uniques)	7978 (156 uniques)
D_OF_2_T0N	34671	24135	24135	24135 (10504 uniques)	23492 (254 uniques)	22061 (235 uniques)	22060 (227 uniques)	21949 (210 uniques)	21949 (210 uniques)	21949 (210 uniques)	21949 (210 uniques)	21878 (204 uniques)	21876 (202 uniques)	8000 (194 uniques)	8000 (172 uniques)	7986 (160 uniques)
D_PL_1_T0D	37043	23972	23972	23972 (10839 uniques)	22611 (238 uniques)	21382 (195 uniques)	21382 (189 uniques)	21366 (185 uniques)	21366 (185 uniques)	21366 (185 uniques)	21366 (185 uniques)	20872 (174 uniques)	20872 (174 uniques)	8000 (164 uniques)	8000 (152 uniques)	7993 (147 uniques)
D_PL_1_T0N	34832	24171	24171	24171 (11542 uniques)	22521 (340 uniques)	21233 (336 uniques)	21233 (319 uniques)	21178 (298 uniques)	21178 (298 uniques)	21178 (298 uniques)	21178 (298 uniques)	20666 (283 uniques)	20664 (281 uniques)	8000 (264 uniques)	8000 (224 uniques)	7979 (210 uniques)
D_PL_1_TFD	35206	26000	26000	26000 (10153 uniques)	25122 (208 uniques)	24190 (208 uniques)	24190 (202 uniques)	23918 (184 uniques)	23918 (184 uniques)	23918 (184 uniques)	23918 (184 uniques)	23858 (179 uniques)	23858 (179 uniques)	8000 (168 uniques)	8000 (150 uniques)	7993 (146 uniques)
D_PL_1_TFN	48762	32464	32464	32464 (9764 uniques)	31797 (197 uniques)	31001 (190 uniques)	30967 (184 uniques)	30859 (166 uniques)	30859 (166 uniques)	30859 (166 uniques)	30859 (166 uniques)	30841 (164 uniques)	30841 (164 uniques)	8000 (151 uniques)	8000 (134 uniques)	7994 (129 uniques)
D_PL_2_T0D	30040	20965	20965	20965 (9395 uniques)	19857 (235 uniques)	18663 (193 uniques)	18663 (185 uniques)	18597 (173 uniques)	18597 (173 uniques)	18597 (173 uniques)	18597 (173 uniques)	18275 (162 uniques)	18275 (162 uniques)	8000 (156 uniques)	8000 (141 uniques)	7991 (134 uniques)
D_PL_2_T0N	50545	29294	29294	29294 (13923 uniques)	27354 (395 uniques)	25722 (362 uniques)	25722 (339 uniques)	25689 (324 uniques)	25689 (324 uniques)	25689 (324 uniques)	25689 (324 uniques)	24727 (299 uniques)	24726 (298 uniques)	8000 (268 uniques)	8000 (229 uniques)	7972 (207 uniques)
D_PL_2_TFD	33031	23738	23738	23738 (9565 uniques)	22892 (209 uniques)	21955 (192 uniques)	21955 (186 uniques)	21724 (165 uniques)	21724 (165 uniques)	21724 (165 uniques)	21724 (165 uniques)	21665 (162 uniques)	21665 (162 uniques)	8000 (158 uniques)	8000 (141 uniques)	7988 (133 uniques)
D_PL_2_TFN	49646	32627	32627	32627 (10051 uniques)	32009 (189 uniques)	31004 (171 uniques)	30979 (166 uniques)	30776 (144 uniques)	30776 (144 uniques)	30776 (144 uniques)	30776 (144 uniques)	30768 (143 uniques)	30768 (143 uniques)	8000 (136 uniques)	8000 (123 uniques)	7996 (120 uniques)
D_PL_3_TFD	41068	29927	29927	29927 (11486 uniques)	29059 (233 uniques)	28009 (247 uniques)	28009 (240 uniques)	27736 (209 uniques)	27736 (209 uniques)	27736 (209 uniques)	27736 (209 uniques)	27678 (205 uniques)	27676 (203 uniques)	8000 (189 uniques)	8000 (161 uniques)	7995 (156 uniques)
D_PL_4_TFD	43623	31239	31239	31239 (11430 uniques)	30325 (245 uniques)	29153 (236 uniques)	29153 (228 uniques)	28789 (201 uniques)	28789 (201 uniques)	28789 (201 uniques)	28789 (201 uniques)	28733 (196 uniques)	28732 (195 uniques)	8000 (180 uniques)	8000 (158 uniques)	7982 (147 uniques)
D_PL_4_TFN	46209	32200	32200	32200 (9045 uniques)	31674 (178 uniques)	31014 (175 uniques)	31014 (169 uniques)	30816 (147 uniques)	30816 (147 uniques)	30816 (147 uniques)	30816 (147 uniques)	30802 (143 uniques)	30802 (143 uniques)	8000 (127 uniques)	8000 (113 uniques)	7994 (108 uniques)
D_PV_1_T0D	42461	30633	30633	30633 (10962 uniques)	29572 (241 uniques)	28537 (213 uniques)	28526 (206 uniques)	28391 (186 uniques)	28391 (186 uniques)	28391 (186 uniques)	28391 (186 uniques)	28168 (179 uniques)	28168 (179 uniques)	8000 (160 uniques)	8000 (146 uniques)	7994 (142 uniques)
D_PV_1_T0N	40792	25319	25319	25319 (11586 uniques)	23539 (372 uniques)	21847 (286 uniques)	21847 (282 uniques)	21811 (267 uniques)	21811 (267 uniques)	21811 (267 uniques)	21811 (267 uniques)	21486 (260 uniques)	21486 (260 uniques)	8000 (248 uniques)	8000 (232 uniques)	7965 (207 uniques)
D_PV_1_TFD	47073	35148	35148	35148 (11841 uniques)	34252 (229 uniques)	33033 (266 uniques)	33033 (259 uniques)	32425 (201 uniques)	32425 (201 uniques)	32425 (201 uniques)	32425 (201 uniques)	32410 (199 uniques)	32408 (197 uniques)	8000 (174 uniques)	8000 (151 uniques)	7988 (142 uniques)
D_PV_1_TFN	35263	23823	23823	23823 (6295 uniques)	23362 (134 uniques)	22824 (129 uniques)	22761 (127 uniques)	22606 (114 uniques)	22606 (114 uniques)	22606 (114 uniques)	22606 (114 uniques)	22606 (114 uniques)	22605 (113 uniques)	8000 (105 uniques)	8000 (89 uniques)	7998 (88 uniques)
D_PV_2_T0D	43063	31459	31459	31459 (12246 uniques)	30336 (240 uniques)	29239 (227 uniques)	29239 (215 uniques)	29110 (196 uniques)	29110 (196 uniques)	29110 (196 uniques)	29110 (196 uniques)	28853 (188 uniques)	28852 (187 uniques)	8000 (166 uniques)	8000 (150 uniques)	7995 (145 uniques)
D_PV_2_T0N	28634	19309	19309	19309 (8805 uniques)	18009 (323 uniques)	16755 (260 uniques)	16684 (255 uniques)	16649 (244 uniques)	16649 (244 uniques)	16649 (244 uniques)	16649 (244 uniques)	16386 (230 uniques)	16386 (230 uniques)	8000 (221 uniques)	8000 (212 uniques)	7974 (193 uniques)
D_PV_2_TFD	40517	27881	27881	27881 (10288 uniques)	27230 (202 uniques)	26227 (197 uniques)	26227 (191 uniques)	26049 (171 uniques)	26049 (171 uniques)	26049 (171 uniques)	26049 (171 uniques)	26015 (165 uniques)	26014 (164 uniques)	8000 (151 uniques)	8000 (138 uniques)	7988 (130 uniques)
D_PV_2_TFN_SA503_SC704	31453	21613	21613	21613 (7425 uniques)	21113 (187 uniques)	20213 (147 uniques)	20122 (143 uniques)	20096 (137 uniques)	20096 (137 uniques)	20096 (137 uniques)	20096 (137 uniques)	20069 (134 uniques)	20069 (134 uniques)	8000 (132 uniques)	8000 (128 uniques)	7991 (122 uniques)
D_PV_2_TFN_SA504_SC704	25048	16648	16648	16648 (6558 uniques)	16124 (152 uniques)	15447 (140 uniques)	15262 (135 uniques)	15253 (132 uniques)	15253 (132 uniques)	15253 (132 uniques)	15253 (132 uniques)	15226 (129 uniques)	15226 (129 uniques)	8000 (127 uniques)	8000 (120 uniques)	7997 (118 uniques)
D_PV_3_TFD	37557	27566	27566	27566 (9859 uniques)	26922 (198 uniques)	26170 (207 uniques)	26170 (200 uniques)	25899 (175 uniques)	25899 (175 uniques)	25899 (175 uniques)	25899 (175 uniques)	25879 (171 uniques)	25879 (171 uniques)	8000 (155 uniques)	8000 (140 uniques)	7993 (134 uniques)
D_PV_4_TFD	12837	9039	9039	9039 (3282 uniques)	8729 (113 uniques)	8200 (116 uniques)	8200 (112 uniques)	8024 (94 uniques)	8024 (94 uniques)	8024 (94 uniques)	8024 (94 uniques)	8024 (94 uniques)	8023 (93 uniques)	8000 (93 uniques)	8000 (78 uniques)	8000 (78 uniques)
