	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-ConsensusClassification	9-Clustering_100	10-TaxaFilter_100	11-MultipletonsFilter_100	12-Subsampling_100	13-Lulu_100	14-RareSeqsFilter_100
M3TWT1	22136	15306	15306	15306 (6462 uniques)	14146 (249 uniques)	13259 (205 uniques)	13231 (194 uniques)	13014 (172 uniques)	13014 (172 uniques)	13014 (172 uniques)	13014 (172 uniques)	12960 (169 uniques)	12960 (169 uniques)	8000 (167 uniques)	8000 (148 uniques)	7982 (137 uniques)
M3TWT2	39561	27346	27346	27346 (9783 uniques)	25763 (335 uniques)	24479 (361 uniques)	24479 (342 uniques)	24047 (297 uniques)	24047 (297 uniques)	24047 (297 uniques)	24047 (297 uniques)	24011 (292 uniques)	24004 (285 uniques)	8000 (248 uniques)	8000 (204 uniques)	7973 (186 uniques)
M3TWT3	4042	305	305	305 (189 uniques)	221 (17 uniques)	199 (16 uniques)	151 (12 uniques)	151 (12 uniques)	151 (12 uniques)	151 (12 uniques)	151 (12 uniques)	151 (12 uniques)	151 (12 uniques)	/	/	/
M3TWT4	272	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
MCR_LTER_FR15	47138	32462	32462	32462 (15324 uniques)	31218 (306 uniques)	30137 (367 uniques)	30135 (338 uniques)	30035 (317 uniques)	30035 (317 uniques)	30035 (317 uniques)	30035 (317 uniques)	28070 (278 uniques)	28065 (273 uniques)	8000 (243 uniques)	8000 (192 uniques)	7990 (183 uniques)
MCR_LTER_FR30	49369	34175	34175	34175 (16422 uniques)	32882 (336 uniques)	31754 (393 uniques)	31754 (356 uniques)	31687 (335 uniques)	31687 (335 uniques)	31687 (335 uniques)	31687 (335 uniques)	29543 (298 uniques)	29540 (295 uniques)	8000 (266 uniques)	8000 (202 uniques)	7977 (185 uniques)
MCR_LTER_FR48	47020	32438	32438	32438 (15484 uniques)	31147 (333 uniques)	29828 (373 uniques)	29828 (346 uniques)	29705 (330 uniques)	29705 (330 uniques)	29705 (330 uniques)	29705 (330 uniques)	27824 (296 uniques)	27822 (294 uniques)	8000 (265 uniques)	8000 (204 uniques)	7981 (189 uniques)
MOCKPlateIII_SA506_SB701	4456	2673	2673	2673 (1030 uniques)	2662 (17 uniques)	2659 (17 uniques)	2649 (16 uniques)	2645 (15 uniques)	2645 (15 uniques)	2645 (15 uniques)	2645 (15 uniques)	2645 (15 uniques)	2645 (15 uniques)	/	/	/
MOCKPlateIII_SC508_SC711	38267	22915	22915	22915 (7138 uniques)	22768 (56 uniques)	22361 (97 uniques)	22361 (97 uniques)	21657 (45 uniques)	21657 (45 uniques)	21657 (45 uniques)	21657 (45 uniques)	21657 (45 uniques)	21652 (40 uniques)	8000 (40 uniques)	8000 (23 uniques)	7999 (22 uniques)
MOCKPlateV	26449	16259	16259	16259 (5697 uniques)	16117 (37 uniques)	15878 (48 uniques)	15842 (47 uniques)	15530 (26 uniques)	15530 (26 uniques)	15530 (26 uniques)	15530 (26 uniques)	15530 (26 uniques)	15530 (26 uniques)	8000 (26 uniques)	8000 (19 uniques)	8000 (19 uniques)
MOCKPlateVII	60613	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
Mordor1CWT1	463	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
Mordor1CWT2	734	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
Mordor1CWT4	21631	15168	15168	15168 (4046 uniques)	14711 (119 uniques)	14333 (132 uniques)	14298 (118 uniques)	14183 (113 uniques)	14183 (113 uniques)	14183 (113 uniques)	14183 (113 uniques)	14183 (113 uniques)	14183 (113 uniques)	8000 (110 uniques)	8000 (85 uniques)	7987 (77 uniques)
Mordor1_M1CWT3	47079	33639	33639	33639 (10965 uniques)	32456 (262 uniques)	31297 (255 uniques)	30761 (242 uniques)	30368 (205 uniques)	30368 (205 uniques)	30368 (205 uniques)	30368 (205 uniques)	30368 (205 uniques)	30368 (205 uniques)	8000 (182 uniques)	8000 (149 uniques)	7980 (136 uniques)
Mordor2_CW_2_T1	194	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
Mordor2_CW_2_T3	34950	23875	23875	23875 (7864 uniques)	23099 (188 uniques)	22496 (161 uniques)	22391 (157 uniques)	22295 (140 uniques)	22295 (140 uniques)	22295 (140 uniques)	22295 (140 uniques)	22295 (140 uniques)	22295 (140 uniques)	8000 (131 uniques)	8000 (121 uniques)	7978 (107 uniques)
Mordor3_M3CWT1	990	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
Mordor3_M3CWT4	26795	19712	19712	19712 (5688 uniques)	19512 (90 uniques)	19167 (124 uniques)	19167 (122 uniques)	18741 (81 uniques)	18741 (81 uniques)	18741 (81 uniques)	18741 (81 uniques)	18741 (81 uniques)	18740 (80 uniques)	8000 (75 uniques)	8000 (50 uniques)	7993 (46 uniques)
NTC1PlateVIII	47674	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
NTC2PlateVIII	62752	189	189	189 (106 uniques)	168 (3 uniques)	168 (3 uniques)	168 (3 uniques)	168 (3 uniques)	168 (3 uniques)	168 (3 uniques)	168 (3 uniques)	168 (3 uniques)	168 (3 uniques)	/	/	/
NTC3PlateVIII	40209	138	138	138 (88 uniques)	122 (3 uniques)	122 (3 uniques)	122 (3 uniques)	122 (3 uniques)	122 (3 uniques)	122 (3 uniques)	122 (3 uniques)	122 (3 uniques)	122 (3 uniques)	/	/	/
NTC4PlateVIII	17224	137	137	137 (84 uniques)	119 (3 uniques)	119 (3 uniques)	119 (3 uniques)	119 (3 uniques)	119 (3 uniques)	119 (3 uniques)	119 (3 uniques)	119 (3 uniques)	119 (3 uniques)	/	/	/
NTC5PlateVIII	16887	101	101	101 (69 uniques)	88 (4 uniques)	88 (4 uniques)	88 (4 uniques)	88 (4 uniques)	88 (4 uniques)	88 (4 uniques)	88 (4 uniques)	88 (4 uniques)	88 (4 uniques)	/	/	/
NTC6PlateVIII	3909	85	85	85 (55 uniques)	62 (3 uniques)	62 (3 uniques)	62 (3 uniques)	62 (3 uniques)	62 (3 uniques)	62 (3 uniques)	62 (3 uniques)	62 (3 uniques)	62 (3 uniques)	/	/	/
NTCAPlateIII	6752	3174	3174	3174 (1409 uniques)	3131 (21 uniques)	3127 (23 uniques)	3127 (23 uniques)	3127 (23 uniques)	3127 (23 uniques)	3127 (23 uniques)	3127 (23 uniques)	3066 (22 uniques)	3066 (22 uniques)	/	/	/
NTCAPlateIV	19015	12161	12161	12161 (2733 uniques)	11995 (23 uniques)	11916 (41 uniques)	178 (7 uniques)	178 (7 uniques)	178 (7 uniques)	178 (7 uniques)	178 (7 uniques)	139 (6 uniques)	139 (6 uniques)	/	/	/
NTCAPlateV	9319	612	612	612 (284 uniques)	596 (8 uniques)	596 (8 uniques)	201 (5 uniques)	201 (5 uniques)	201 (5 uniques)	201 (5 uniques)	201 (5 uniques)	201 (5 uniques)	201 (5 uniques)	/	/	/
NTCAPlateVII	382	60	60	60 (49 uniques)	28 (3 uniques)	20 (2 uniques)	20 (2 uniques)	20 (2 uniques)	20 (2 uniques)	20 (2 uniques)	20 (2 uniques)	20 (2 uniques)	20 (2 uniques)	/	/	/
NTCBPlateIV	2238	445	445	445 (153 uniques)	435 (5 uniques)	431 (4 uniques)	108 (2 uniques)	108 (2 uniques)	108 (2 uniques)	108 (2 uniques)	108 (2 uniques)	108 (2 uniques)	108 (2 uniques)	/	/	/
NTCCPlateIV	3061	1004	1004	1004 (336 uniques)	996 (9 uniques)	992 (8 uniques)	522 (6 uniques)	522 (6 uniques)	522 (6 uniques)	522 (6 uniques)	522 (6 uniques)	522 (6 uniques)	522 (6 uniques)	/	/	/
OW_2_T1	35530	24851	24851	24851 (12084 uniques)	22283 (409 uniques)	20284 (301 uniques)	20284 (290 uniques)	20244 (275 uniques)	20244 (275 uniques)	20244 (275 uniques)	20244 (275 uniques)	19693 (256 uniques)	19693 (256 uniques)	8000 (244 uniques)	8000 (228 uniques)	7964 (204 uniques)
OW_2_T2	39339	27496	27496	27496 (12839 uniques)	24917 (408 uniques)	22413 (312 uniques)	22413 (304 uniques)	22222 (281 uniques)	22222 (281 uniques)	22222 (281 uniques)	22222 (281 uniques)	22171 (278 uniques)	22171 (278 uniques)	8000 (254 uniques)	8000 (236 uniques)	7965 (213 uniques)
OW_2_T3	31982	22091	22091	22091 (9876 uniques)	20077 (361 uniques)	18410 (269 uniques)	18410 (262 uniques)	18383 (251 uniques)	18383 (251 uniques)	18383 (251 uniques)	18383 (251 uniques)	18115 (239 uniques)	18115 (239 uniques)	8000 (228 uniques)	8000 (220 uniques)	7964 (194 uniques)
OW_2_T4	37215	27309	27309	27309 (8479 uniques)	26119 (219 uniques)	25349 (196 uniques)	25349 (196 uniques)	24814 (163 uniques)	24814 (163 uniques)	24814 (163 uniques)	24814 (163 uniques)	24110 (153 uniques)	24107 (150 uniques)	8000 (137 uniques)	8000 (122 uniques)	7984 (110 uniques)
SB508_SC710	30098	19706	19706	19706 (6492 uniques)	19568 (53 uniques)	19259 (70 uniques)	19237 (69 uniques)	18605 (26 uniques)	18605 (26 uniques)	18605 (26 uniques)	18605 (26 uniques)	18605 (26 uniques)	18605 (26 uniques)	8000 (26 uniques)	8000 (19 uniques)	8000 (19 uniques)
SURFlag01	479	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
SURFlag02	43279	29372	29372	29372 (15819 uniques)	27205 (513 uniques)	25173 (486 uniques)	25153 (445 uniques)	25129 (433 uniques)	25129 (433 uniques)	25129 (433 uniques)	25129 (433 uniques)	23332 (402 uniques)	23330 (400 uniques)	8000 (374 uniques)	8000 (291 uniques)	7949 (254 uniques)
SURFlag03	41396	29070	29070	29070 (16277 uniques)	25706 (605 uniques)	22376 (549 uniques)	22376 (525 uniques)	22177 (475 uniques)	22177 (475 uniques)	22177 (475 uniques)	22177 (475 uniques)	20882 (436 uniques)	20881 (435 uniques)	8000 (408 uniques)	8000 (331 uniques)	7942 (291 uniques)
SURFlag04	36485	25123	25123	25123 (14552 uniques)	22186 (589 uniques)	18975 (488 uniques)	18975 (471 uniques)	18906 (449 uniques)	18906 (449 uniques)	18906 (449 uniques)	18906 (449 uniques)	17347 (402 uniques)	17346 (401 uniques)	8000 (388 uniques)	8000 (329 uniques)	7940 (291 uniques)
SURFlag05	41796	27971	27971	27971 (14804 uniques)	25222 (619 uniques)	22400 (556 uniques)	22388 (530 uniques)	22363 (516 uniques)	22363 (516 uniques)	22363 (516 uniques)	22363 (516 uniques)	20519 (478 uniques)	20519 (478 uniques)	8000 (447 uniques)	8000 (368 uniques)	7953 (331 uniques)
SURFlag06	170	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
SURFlag15	141	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
SURFlag16	127	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
SURFlag17	237	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
SURFlag18	122	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
SURFlag19	269	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
SURFlag20	350	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
Spiffy1	31748	21570	21570	21570 (7681 uniques)	20780 (162 uniques)	20227 (149 uniques)	20225 (142 uniques)	20089 (119 uniques)	20089 (119 uniques)	20089 (119 uniques)	20089 (119 uniques)	19943 (112 uniques)	19943 (112 uniques)	8000 (108 uniques)	8000 (99 uniques)	7992 (93 uniques)
Spiffy10	40702	28486	28486	28486 (13653 uniques)	25667 (451 uniques)	23132 (337 uniques)	23122 (321 uniques)	23045 (307 uniques)	23045 (307 uniques)	23045 (307 uniques)	23045 (307 uniques)	22440 (292 uniques)	22440 (292 uniques)	8000 (272 uniques)	8000 (249 uniques)	7948 (212 uniques)
Spiffy11	42076	28503	28503	28503 (12643 uniques)	26430 (329 uniques)	24933 (296 uniques)	24931 (279 uniques)	24809 (253 uniques)	24809 (253 uniques)	24809 (253 uniques)	24809 (253 uniques)	24434 (240 uniques)	24433 (239 uniques)	8000 (213 uniques)	8000 (197 uniques)	7978 (180 uniques)
Spiffy12	30724	21680	21680	21680 (8838 uniques)	20517 (243 uniques)	19779 (221 uniques)	19779 (211 uniques)	19706 (195 uniques)	19706 (195 uniques)	19706 (195 uniques)	19706 (195 uniques)	19480 (182 uniques)	19480 (182 uniques)	8000 (168 uniques)	8000 (155 uniques)	7986 (146 uniques)
Spiffy13	39026	25957	25957	25957 (10098 uniques)	24997 (208 uniques)	24326 (203 uniques)	24326 (195 uniques)	24202 (169 uniques)	24202 (169 uniques)	24202 (169 uniques)	24202 (169 uniques)	23951 (159 uniques)	23951 (159 uniques)	8000 (149 uniques)	8000 (140 uniques)	7988 (132 uniques)
Spiffy14	25771	18154	18154	18154 (7746 uniques)	17294 (206 uniques)	16724 (196 uniques)	16724 (189 uniques)	16706 (180 uniques)	16706 (180 uniques)	16706 (180 uniques)	16706 (180 uniques)	16556 (172 uniques)	16556 (172 uniques)	8000 (168 uniques)	8000 (158 uniques)	7975 (138 uniques)
Spiffy15	21962	14615	14615	14615 (6197 uniques)	13944 (176 uniques)	13577 (160 uniques)	13577 (153 uniques)	13554 (144 uniques)	13554 (144 uniques)	13554 (144 uniques)	13554 (144 uniques)	13439 (138 uniques)	13439 (138 uniques)	8000 (135 uniques)	8000 (123 uniques)	7989 (116 uniques)
Spiffy16	34064	22462	22462	22462 (8793 uniques)	21465 (197 uniques)	20874 (192 uniques)	20874 (183 uniques)	20826 (172 uniques)	20826 (172 uniques)	20826 (172 uniques)	20826 (172 uniques)	20696 (164 uniques)	20696 (164 uniques)	8000 (158 uniques)	8000 (147 uniques)	7992 (139 uniques)
Spiffy17	43476	28114	28114	28114 (10287 uniques)	27340 (190 uniques)	26732 (191 uniques)	26730 (182 uniques)	26618 (161 uniques)	26618 (161 uniques)	26618 (161 uniques)	26618 (161 uniques)	26473 (154 uniques)	26473 (154 uniques)	8000 (145 uniques)	8000 (133 uniques)	7992 (127 uniques)
Spiffy18	59282	37805	37805	37805 (13669 uniques)	36641 (261 uniques)	35748 (242 uniques)	35748 (230 uniques)	35590 (202 uniques)	35590 (202 uniques)	35590 (202 uniques)	35590 (202 uniques)	35412 (193 uniques)	35412 (193 uniques)	8000 (174 uniques)	8000 (154 uniques)	7985 (143 uniques)
Spiffy19	47736	33767	33767	33767 (11756 uniques)	32519 (290 uniques)	31467 (253 uniques)	31467 (243 uniques)	31361 (218 uniques)	31361 (218 uniques)	31361 (218 uniques)	31361 (218 uniques)	31156 (209 uniques)	31155 (208 uniques)	8000 (189 uniques)	8000 (176 uniques)	7979 (159 uniques)
Spiffy2	24307	17334	17334	17334 (6310 uniques)	16703 (149 uniques)	16316 (157 uniques)	16316 (150 uniques)	16255 (132 uniques)	16255 (132 uniques)	16255 (132 uniques)	16255 (132 uniques)	16119 (126 uniques)	16118 (125 uniques)	8000 (119 uniques)	8000 (109 uniques)	7992 (103 uniques)
Spiffy20	54959	37740	37740	37740 (13297 uniques)	36553 (278 uniques)	35675 (284 uniques)	35675 (272 uniques)	35540 (245 uniques)	35540 (245 uniques)	35540 (245 uniques)	35540 (245 uniques)	34914 (228 uniques)	34914 (228 uniques)	8000 (194 uniques)	8000 (175 uniques)	7984 (163 uniques)
Spiffy3	18597	12690	12690	12690 (4938 uniques)	12172 (132 uniques)	11875 (122 uniques)	11875 (116 uniques)	11848 (111 uniques)	11848 (111 uniques)	11848 (111 uniques)	11848 (111 uniques)	11517 (97 uniques)	11517 (97 uniques)	8000 (97 uniques)	8000 (91 uniques)	7998 (89 uniques)
Spiffy4	23676	15817	15817	15817 (6256 uniques)	15147 (156 uniques)	14752 (146 uniques)	14752 (139 uniques)	14722 (129 uniques)	14722 (129 uniques)	14722 (129 uniques)	14722 (129 uniques)	14514 (122 uniques)	14514 (122 uniques)	8000 (118 uniques)	8000 (109 uniques)	7993 (103 uniques)
Spiffy5	37078	24642	24642	24642 (8748 uniques)	23873 (183 uniques)	23463 (174 uniques)	23463 (165 uniques)	23385 (150 uniques)	23385 (150 uniques)	23385 (150 uniques)	23385 (150 uniques)	23123 (142 uniques)	23123 (142 uniques)	8000 (133 uniques)	8000 (125 uniques)	7992 (118 uniques)
Spiffy6	46715	31686	31686	31686 (12799 uniques)	29923 (328 uniques)	28176 (257 uniques)	28174 (246 uniques)	28034 (219 uniques)	28034 (219 uniques)	28034 (219 uniques)	28034 (219 uniques)	27808 (209 uniques)	27804 (205 uniques)	8000 (181 uniques)	8000 (167 uniques)	7967 (141 uniques)
Spiffy7	37779	27780	27780	27780 (11782 uniques)	25994 (327 uniques)	24616 (273 uniques)	24616 (260 uniques)	24579 (248 uniques)	24579 (248 uniques)	24579 (248 uniques)	24579 (248 uniques)	24052 (229 uniques)	24051 (228 uniques)	8000 (206 uniques)	8000 (194 uniques)	7961 (167 uniques)
Spiffy8	42085	30432	30432	30432 (13092 uniques)	28343 (332 uniques)	26679 (264 uniques)	26679 (250 uniques)	26635 (237 uniques)	26635 (237 uniques)	26635 (237 uniques)	26635 (237 uniques)	26331 (228 uniques)	26330 (227 uniques)	8000 (212 uniques)	8000 (191 uniques)	7963 (167 uniques)
Spiffy9	54272	37023	37023	37023 (15043 uniques)	34706 (405 uniques)	32834 (307 uniques)	32797 (293 uniques)	32739 (275 uniques)	32739 (275 uniques)	32739 (275 uniques)	32739 (275 uniques)	32336 (264 uniques)	32336 (264 uniques)	8000 (232 uniques)	8000 (215 uniques)	7972 (193 uniques)
TW_2_T1	201	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
TW_2_T2	25028	17829	17829	17829 (8759 uniques)	16129 (322 uniques)	14767 (251 uniques)	14761 (242 uniques)	14715 (230 uniques)	14715 (230 uniques)	14715 (230 uniques)	14715 (230 uniques)	14604 (224 uniques)	14604 (224 uniques)	8000 (215 uniques)	8000 (207 uniques)	7967 (186 uniques)
TW_2_T3	43680	30692	30692	30692 (9657 uniques)	29588 (240 uniques)	28624 (225 uniques)	28624 (223 uniques)	28208 (196 uniques)	28208 (196 uniques)	28208 (196 uniques)	28208 (196 uniques)	28141 (193 uniques)	28136 (188 uniques)	8000 (169 uniques)	8000 (143 uniques)	7982 (131 uniques)
TW_2_T4	43040	29228	29228	29228 (14349 uniques)	26011 (545 uniques)	23630 (444 uniques)	23620 (426 uniques)	23530 (407 uniques)	23530 (407 uniques)	23530 (407 uniques)	23530 (407 uniques)	21397 (360 uniques)	21395 (358 uniques)	8000 (335 uniques)	8000 (311 uniques)	7939 (268 uniques)
WATFlag01	44811	30789	30789	30789 (15292 uniques)	29177 (377 uniques)	27584 (384 uniques)	27584 (362 uniques)	27516 (343 uniques)	27516 (343 uniques)	27516 (343 uniques)	27516 (343 uniques)	24133 (314 uniques)	24131 (312 uniques)	8000 (295 uniques)	8000 (246 uniques)	7971 (225 uniques)
WATFlag02	36411	24999	24999	24999 (12022 uniques)	23841 (341 uniques)	22477 (329 uniques)	22477 (315 uniques)	22433 (300 uniques)	22433 (300 uniques)	22433 (300 uniques)	22433 (300 uniques)	20979 (277 uniques)	20979 (277 uniques)	8000 (263 uniques)	8000 (225 uniques)	7978 (210 uniques)
WATFlag03	40590	28457	28457	28457 (14154 uniques)	26780 (404 uniques)	25250 (398 uniques)	25250 (369 uniques)	25195 (352 uniques)	25195 (352 uniques)	25195 (352 uniques)	25195 (352 uniques)	22643 (317 uniques)	22643 (317 uniques)	8000 (299 uniques)	8000 (254 uniques)	7963 (228 uniques)
WATFlag04	47440	32929	32929	32929 (16205 uniques)	31271 (427 uniques)	29408 (455 uniques)	29408 (431 uniques)	29310 (402 uniques)	29310 (402 uniques)	29310 (402 uniques)	29310 (402 uniques)	26635 (367 uniques)	26634 (366 uniques)	8000 (340 uniques)	8000 (284 uniques)	7973 (264 uniques)
WATFlag05	52683	35275	35275	35275 (16842 uniques)	33469 (415 uniques)	31699 (431 uniques)	31699 (398 uniques)	31558 (370 uniques)	31558 (370 uniques)	31558 (370 uniques)	31558 (370 uniques)	27447 (331 uniques)	27446 (330 uniques)	8000 (310 uniques)	8000 (257 uniques)	7974 (242 uniques)
WATFlag06	40581	26956	26956	26956 (13244 uniques)	25574 (367 uniques)	24173 (374 uniques)	24173 (354 uniques)	24099 (329 uniques)	24099 (329 uniques)	24099 (329 uniques)	24099 (329 uniques)	21737 (300 uniques)	21736 (299 uniques)	8000 (280 uniques)	8000 (238 uniques)	7974 (220 uniques)
WATFlag15	49137	33505	33505	33505 (14983 uniques)	31998 (366 uniques)	30435 (349 uniques)	30435 (329 uniques)	30366 (313 uniques)	30366 (313 uniques)	30366 (313 uniques)	30366 (313 uniques)	27321 (275 uniques)	27321 (275 uniques)	8000 (257 uniques)	8000 (218 uniques)	7983 (206 uniques)
WATFlag16	49599	34278	34278	34278 (16417 uniques)	32733 (419 uniques)	31069 (454 uniques)	31069 (425 uniques)	30982 (399 uniques)	30982 (399 uniques)	30982 (399 uniques)	30982 (399 uniques)	28777 (363 uniques)	28775 (361 uniques)	8000 (335 uniques)	8000 (266 uniques)	7979 (250 uniques)
WATFlag17	49790	34588	34588	34588 (16093 uniques)	33119 (371 uniques)	31676 (385 uniques)	31676 (357 uniques)	31608 (338 uniques)	31608 (338 uniques)	31608 (338 uniques)	31608 (338 uniques)	28813 (305 uniques)	28812 (304 uniques)	8000 (281 uniques)	8000 (240 uniques)	7983 (227 uniques)
WATFlag18	46215	33041	33041	33041 (15343 uniques)	31401 (418 uniques)	29953 (414 uniques)	29953 (387 uniques)	29871 (373 uniques)	29871 (373 uniques)	29871 (373 uniques)	29871 (373 uniques)	26446 (329 uniques)	26446 (329 uniques)	8000 (301 uniques)	8000 (261 uniques)	7974 (243 uniques)
WATFlag19	39143	27496	27496	27496 (13447 uniques)	26153 (378 uniques)	24707 (360 uniques)	24705 (336 uniques)	24685 (327 uniques)	24685 (327 uniques)	24685 (327 uniques)	24685 (327 uniques)	22198 (298 uniques)	22198 (298 uniques)	8000 (282 uniques)	8000 (243 uniques)	7976 (229 uniques)
WATFlag20	84810	57038	57038	57038 (26246 uniques)	54701 (602 uniques)	51997 (628 uniques)	51992 (583 uniques)	51852 (541 uniques)	51852 (541 uniques)	51852 (541 uniques)	51852 (541 uniques)	48507 (498 uniques)	48502 (493 uniques)	8000 (423 uniques)	8000 (338 uniques)	7965 (312 uniques)
mixed_samples_SB505_SC701	164	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
mixed_samples_SB505_SC702	35105	26082	26082	26082 (10488 uniques)	24750 (325 uniques)	23554 (315 uniques)	22813 (297 uniques)	22620 (278 uniques)	22620 (278 uniques)	22620 (278 uniques)	22620 (278 uniques)	22529 (273 uniques)	22527 (271 uniques)	8000 (243 uniques)	8000 (212 uniques)	7969 (189 uniques)
mixed_samples_SB505_SC703	28845	20407	20407	20407 (7721 uniques)	19509 (273 uniques)	18531 (272 uniques)	15149 (249 uniques)	15080 (231 uniques)	15080 (231 uniques)	15080 (231 uniques)	15080 (231 uniques)	15063 (229 uniques)	15062 (228 uniques)	8000 (223 uniques)	8000 (192 uniques)	7988 (184 uniques)
noprimers_SA507_SB701	59	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
noprimers_SC508_SA712	180	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
